"filename", "language", "Markdown", "C#", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Controllers\PatentsController.cs", "C#", 0, 61, 0, 0, 0, 0, 0, 0, 6, 7, 74
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Controllers\UsersController.cs", "C#", 0, 79, 0, 0, 0, 0, 0, 0, 1, 13, 93
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Data\AppDbContext.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Interfaces\ILoggerManager.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Logging\LoggerManager.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Models\Patent.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 1, 0, 13
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Models\User.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 1, 0, 12
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Program.cs", "C#", 0, 33, 0, 0, 0, 0, 0, 0, 3, 9, 45
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Repositories\Interfaces\IPatentRepository.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Repositories\Interfaces\IUserRepository.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Repositories\PatentRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Repositories\UserRepository.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 1, 7, 49
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Services\Interfaces\IPatentService.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Services\Interfaces\IUserService.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Services\PatentService.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\Services\UserService.cs", "C#", 0, 36, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\backend\backend.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 17
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\README.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\angular.json", "JSON", 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\ggoat\OneDrive\Documents\CSCI 440 App Software Dev\PatentLocator\client\package-lock.json", "JSON", 0, 0, 13698, 0, 0, 0, 0, 0, 0, 1, 13699
